KD.pubID	KD.geneSymbol	perturb_id	KD_eff.Inc	Inc_flag	KD_eff.CAGE	ASO_hit	localization	geneClass	expression
A1BG-AS1	A1BG-AS1	ASO_G0268895_01	89.413	1	77.512	exonic	Chromatin bound	lncRNA_divergent	11.406
A1BG-AS1	A1BG-AS1	ASO_G0268895_02	63.181	1	11.825	exonic	Chromatin bound	lncRNA_divergent	11.406
A1BG-AS1	A1BG-AS1	ASO_G0268895_03	82.811	1	70.716	exonic	Chromatin bound	lncRNA_divergent	11.406
A1BG-AS1	A1BG-AS1	ASO_G0268895_04	54.211	0	25.581	exonic	Chromatin bound	lncRNA_divergent	11.406
A1BG-AS1	A1BG-AS1	ASO_G0268895_10	10.907	0	45.84	exonic	Chromatin bound	lncRNA_divergent	11.406
AC004980.7	AC004980.7	ASO_G0205485_01	87.316	1	75.523	exonic	Chromatin bound	pseudogene	16.738
AC004980.7	AC004980.7	ASO_G0205485_02	77.485	1	56.978	exonic	Chromatin bound	pseudogene	16.738
AC004980.7	AC004980.7	ASO_G0205485_03	72.967	1	70.205	exonic	Chromatin bound	pseudogene	16.738
AC004980.7	AC004980.7	ASO_G0205485_05	50.783	0	-26.261	exonic	Chromatin bound	pseudogene	16.738
SPRY4-AS1	AC005592.2	ASO_G0231185_01	38.88	0	79.489	exonic	Chromatin bound	lncRNA_divergent	11.469
SPRY4-AS1	AC005592.2	ASO_G0231185_02	69.785	1	72.334	exonic	Chromatin bound	lncRNA_divergent	11.469
SPRY4-AS1	AC005592.2	ASO_G0231185_03	99.337	1	68.005	exonic	Chromatin bound	lncRNA_divergent	11.469
SPRY4-AS1	AC005592.2	ASO_G0231185_06	43.313	0	58.431	exonic	Chromatin bound	lncRNA_divergent	11.469
SPRY4-AS1	AC005592.2	ASO_G0231185_09	-18.552	0	53.107	exonic	Chromatin bound	lncRNA_divergent	11.469
MAP4K3-DT	AC007246.3	ASO_G0231312_01	39.385	0	29.893	exonic	Chromatin bound	lncRNA_divergent	14.108
MAP4K3-DT	AC007246.3	ASO_G0231312_02	93.053	1	91.703	exonic	Chromatin bound	lncRNA_divergent	14.108
MAP4K3-DT	AC007246.3	ASO_G0231312_03	44.655	0	39.067	exonic	Chromatin bound	lncRNA_divergent	14.108
MAP4K3-DT	AC007246.3	ASO_G0231312_04	79.557	1	83.336	exonic	Chromatin bound	lncRNA_divergent	14.108
MAP4K3-DT	AC007246.3	ASO_G0231312_05	63.497	1	32.764	exonic	Chromatin bound	lncRNA_divergent	14.108
AC007773.2	AC007773.2	ASO_G0267213_01	80.868	1	73.738	exonic	Nuclear soluble	lncRNA_divergent	2.38
AC007773.2	AC007773.2	ASO_G0267213_03	86.531	1	65.434	exonic	Nuclear soluble	lncRNA_divergent	2.38
AC007773.2	AC007773.2	ASO_G0267213_04	62.611	1	64.761	exonic	Nuclear soluble	lncRNA_divergent	2.38
AC007773.2	AC007773.2	ASO_G0267213_06	56.953	1	73.619	exonic	Nuclear soluble	lncRNA_divergent	2.38
AC007773.2	AC007773.2	ASO_G0267213_10	78.609	1	67.785	exonic	Nuclear soluble	lncRNA_divergent	2.38
MYOSLID	AC007879.7	ASO_G0229647_01	-1.574	0	38.647	exonic	Chromatin bound	lncRNA_intergenic	0.971
