KD.pubID	KD.geneSymbol	perturb_id	Description	transfection_plate	GrowthRate_rep1	GrowthRate_rep2	Area_rep1	Area_rep2	Compactness_rep1	Compactness_rep2	Eccentricity_rep1	Eccentricity_rep2	Extent_rep1	Extent_rep2	FormFactor_rep1	FormFactor_rep2	MajorAxisLength_rep1	MajorAxisLength_rep2	MaxFeretDiameter_rep1	MaxFeretDiameter_rep2	MaximumRadius_rep1	MaximumRadius_rep2	MedianRadius_rep1	MedianRadius_rep2	MinFeretDiameter_rep1	MinFeretDiameter_rep2	MinorAxisLength_rep1	MinorAxisLength_rep2	Perimeter_rep1	Perimeter_rep2	Solidity_rep1	Solidity_rep2
A1BG-AS1	A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	r2b1p1	-0.393216	-0.567563	0.735309	0.687307	0.836577	0.786802	0.944918	0.914619	1.139399	1.212651	1.229592	1.318233	0.760815	0.708837	0.756641	0.697526	0.929251	0.894427	0.942416	0.926334	0.895286	0.85921	0.910391	0.882092	0.786013	0.745518	1.034913	1.049902
A1BG-AS1	A1BG-AS1	ASO_G0268895_02	Targeted lncRNA	r2b1p1	0.972483	0.918865	1.113537	1.024345	0.949887	0.925367	0.984913	0.976956	1.047402	1.048076	1.027666	1.075581	1.009018	0.961007	1.010767	0.957095	1.079606	1.034817	1.064324	1.035007	1.082802	1.047545	1.086923	1.051989	1.030184	0.98492	1.000131	1.009538
A1BG-AS1	A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	r2b1p1	0.315422	0.219033	0.764652	0.757322	0.793361	0.779908	0.947162	0.942255	1.154893	1.176728	1.267123	1.267267	0.754021	0.751653	0.7525	0.746375	0.981465	0.978449	0.995512	1.001601	0.922454	0.936497	0.942916	0.960567	0.776691	0.770521	1.055057	1.05369
A1BG-AS1	A1BG-AS1	ASO_G0268895_04	Targeted lncRNA	r2b1p1	1.00359	0.961913	0.995521	0.905599	0.98219	0.992121	0.994888	1.004022	1.0129	1.004473	1.018205	0.995151	0.990465	0.946411	0.993861	0.945984	1.022627	0.950293	1.021019	0.966611	0.996502	0.963724	0.993054	0.962809	0.975014	0.944539	1.004812	0.989166
A1BG-AS1	A1BG-AS1	ASO_G0268895_10	Targeted lncRNA	r2b1p1	1.039688	1.015861	0.933794	0.906303	0.935329	0.928132	0.987368	0.991468	1.026141	1.018733	1.03324	1.036636	0.934942	0.920701	0.936789	0.928796	0.995408	0.994924	0.986996	0.986472	0.994216	0.985635	1.002022	0.992172	0.950863	0.940947	1.00308	0.999494
AC004980.7	AC004980.7	ASO_G0205485_01	Targeted lncRNA	r3b2p1	0.855526	0.922025	1.025904	0.910437	0.940803	0.915888	0.976307	0.974682	1.029269	1.017388	1.040586	1.049456	0.969512	0.885973	0.972642	0.889993	1.040541	0.994855	1.019657	0.983761	1.047768	1.001669	1.055539	1.011968	1.000407	0.913057	1.005935	0.999132
AC004980.7	AC004980.7	ASO_G0205485_02	Targeted lncRNA	r3b2p1	1.010616	0.904707	0.953533	0.839249	0.962271	0.898936	1.001303	0.973136	1.049253	1.078153	1.100835	1.109448	0.958273	0.850491	0.957302	0.853211	0.98616	0.981756	1.006296	0.985914	0.948075	0.962295	0.957424	0.969218	0.939033	0.857229	1.039465	1.013038
AC004980.7	AC004980.7	ASO_G0205485_03	Targeted lncRNA	r3b2p1	0.967856	0.923827	0.922411	0.954324	1.012007	0.901811	0.995223	0.984175	1.028095	1.0776	1.058198	1.106128	0.977257	0.915473	0.966499	0.92217	0.972669	1.032791	0.989647	1.038332	0.959888	1.01256	0.968351	1.020862	0.944178	0.920665	1.012773	1.01859
AC004980.7	AC004980.7	ASO_G0205485_05	Targeted lncRNA	r3b2p1	0.867725	0.839048	0.920131	0.861192	1.036127	0.938187	1.009818	0.992755	1.020191	1.036974	1.046046	1.096606	0.990672	0.897248	0.979226	0.895202	0.967552	0.956046	0.982421	0.973059	0.91955	0.938854	0.919645	0.937298	0.937236	0.886144	1.020184	1.01315
SPRY4-AS1	AC005592.2	ASO_G0231185_01	Targeted lncRNA	r2b1p2	0.909702	0.948043	0.891154	0.797004	0.8291	0.810484	0.962337	0.95682	1.119442	1.143258	1.142313	1.233482	0.846477	0.795227	0.85278	0.79999	1.036397	1.010186	1.04013	1.028685	1.006552	0.930964	1.015338	0.949586	0.867416	0.794364	1.026469	1.059412
SPRY4-AS1	AC005592.2	ASO_G0231185_02	Targeted lncRNA	r2b1p2	0.010594	0.105354	0.634774	0.683129	0.853041	0.936126	0.945973	0.955734	1.154129	1.090706	1.219665	1.12853	0.707348	0.779078	0.686305	0.753181	0.813106	0.811366	0.860911	0.852408	0.835363	0.882132	0.851125	0.896274	0.732846	0.809149	1.016232	0.981861
SPRY4-AS1	AC005592.2	ASO_G0231185_03	Targeted lncRNA	r2b1p2	0.194584	-0.012636	0.842045	0.711668	0.851495	0.785411	0.953305	0.946747	1.132869	1.1853	1.224332	1.331546	0.839284	0.737373	0.830588	0.730014	0.994025	0.93233	1.009536	0.968155	0.948232	0.882751	0.956876	0.909668	0.836769	0.740793	1.048485	1.070965
SPRY4-AS1	AC005592.2	ASO_G0231185_06	Targeted lncRNA	r2b1p2	1.04524	1.012235	0.971941	0.930194	0.980736	0.98755	0.98521	0.994196	1.03647	1.012813	1.041357	1.014178	0.973151	0.963887	0.970118	0.961991	0.993949	0.981728	0.986721	0.983413	0.995076	0.974752	0.99475	0.97603	0.973445	0.948462	0.996941	1.001143
SPRY4-AS1	AC005592.2	ASO_G0231185_09	Targeted lncRNA	r2b1p2	0.933526	1.000435	0.964711	0.91984	0.883791	0.931182	0.966502	0.981267	1.048319	1.027254	1.02967	1.045267	0.899384	0.924155	0.90684	0.92255	1.035153	0.985899	1.017662	0.985902	1.053906	0.993391	1.05452	0.997732	0.949426	0.937113	0.988853	1.004777
MAP4K3-DT	AC007246.3	ASO_G0231312_01	Targeted lncRNA	r3b2p2	1.05554	1.077844	0.952872	1.050284	0.926619	0.955943	0.983364	1.000405	1.010893	1.05693	1.037529	1.040896	0.921779	0.99894	0.921004	0.986531	0.983334	1.036613	0.988758	1.036852	1.021112	1.030718	1.028066	1.024988	0.962536	0.992435	1.003399	1.007974
MAP4K3-DT	AC007246.3	ASO_G0231312_02	Targeted lncRNA	r3b2p2	0.837974	0.875172	0.886328	0.903533	0.897065	0.895985	0.971018	0.96716	1.079556	1.052995	1.080692	1.083214	0.876444	0.882833	0.86859	0.877731	0.980024	0.984007	0.980093	0.981289	1.021103	1.019896	1.029203	1.020541	0.909323	0.927706	0.99225	0.993528
MAP4K3-DT	AC007246.3	ASO_G0231312_03	Targeted lncRNA	r3b2p2	0.911356	1.077369	0.818938	0.967745	0.956623	0.940883	0.994137	0.990486	1.024916	1.056827	1.086673	1.088395	0.893374	0.953078	0.889608	0.945177	0.936956	0.995973	0.960271	1.00553	0.913589	0.990974	0.92535	0.996029	0.867837	0.946452	1.021699	1.017261
MAP4K3-DT	AC007246.3	ASO_G0231312_04	Targeted lncRNA	r3b2p2	0.992485	0.89402	0.889069	0.962306	0.973925	1.035914	0.991624	1.021783	1.034173	0.997055	1.080113	1.026803	0.93009	1.009956	0.923248	1.0023	0.959126	0.971415	0.983644	0.988458	0.950485	0.93938	0.961474	0.93577	0.904787	0.966147	1.015051	1.027962
MAP4K3-DT	AC007246.3	ASO_G0231312_05	Targeted lncRNA	r3b2p2	0.837035	0.852747	0.929132	0.861972	0.868405	0.899555	0.972374	0.982948	1.061804	1.077511	1.106793	1.124484	0.890929	0.876565	0.890466	0.873932	1.025303	0.977514	1.01489	0.993009	1.041883	0.967517	1.044373	0.973998	0.92176	0.878661	1.001595	1.018174
AC007773.2	AC007773.2	ASO_G0267213_01	Targeted lncRNA	r9b8p3	0.481921	0.50846	0.870761	0.849855	0.88867	0.883354	0.958463	0.965822	1.055684	1.057166	1.089343	1.134966	0.855838	0.850985	0.852604	0.853849	0.970686	0.985516	0.961436	0.981814	0.978182	0.957346	0.982014	0.966214	0.899247	0.871231	0.99133	1.006244
AC007773.2	AC007773.2	ASO_G0267213_03	Targeted lncRNA	r9b8p3	0.909125	0.990087	0.995948	0.957505	0.965687	0.990014	0.993619	1.000815	0.99224	0.997728	1.010901	1.033019	0.974915	0.984605	0.969625	0.981026	0.997956	0.99566	1.007469	1.005698	1.01151	0.975011	1.021628	0.980557	0.980487	0.967012	0.996922	1.011573
AC007773.2	AC007773.2	ASO_G0267213_04	Targeted lncRNA	r9b8p3	0.864924	1.00247	0.996785	1.03146	1.005591	1.026009	1.000606	1.005993	0.989212	0.952894	1.011616	0.957969	1.010551	1.030603	1.011015	1.032164	1.008861	0.975804	1.008894	0.985182	1.026217	1.00417	1.01856	1.012496	1.005043	1.043844	0.99648	0.994694
AC007773.2	AC007773.2	ASO_G0267213_06	Targeted lncRNA	r9b8p3	0.815566	0.91135	1.026262	1.033076	1.031713	1.023636	1.000027	1.004592	0.979936	0.977183	0.98087	0.964752	1.028011	1.029349	1.016772	1.024818	0.999019	1.000564	0.98823	0.994119	1.012868	1.01101	1.00743	1.010945	1.020119	1.033537	0.983827	0.985541
AC007773.2	AC007773.2	ASO_G0267213_10	Targeted lncRNA	r9b8p3	0.947534	1.011023	0.949181	0.994175	0.997281	1.086369	1.006931	1.022113	0.993445	0.969464	1.032753	0.950081	0.977305	1.05995	0.972693	1.05722	0.973853	0.977005	0.990093	0.982769	0.95545	0.937545	0.964989	0.936915	0.954909	1.017609	1.014984	1.001433
MYOSLID	AC007879.7	ASO_G0229647_01	Targeted lncRNA	r2b1p2	0.961493	1.013898	0.964556	0.94558	1.035603	0.98738	1.007233	0.998125	0.967012	1.034368	1.016348	1.056255	1.013592	0.979256	1.003843	0.973155	0.984477	0.994288	0.991321	1.00106	0.959865	0.975076	0.964555	0.980308	0.979791	0.96201	1.013725	1.013765
MYOSLID	AC007879.7	ASO_G0229647_02	Targeted lncRNA	r2b1p2	0.974619	0.907601	0.951009	0.966179	0.966353	0.929173	0.986419	0.984232	1.02682	1.083023	1.029941	1.12094	0.960903	0.940533	0.960692	0.933025	0.997579	1.011911	0.992124	1.024181	1.001697	0.981157	1.003051	0.992386	0.95984	0.925348	1.001917	1.033292
MYOSLID	AC007879.7	ASO_G0229647_03	Targeted lncRNA	r2b1p2	0.903352	1.004464	0.890487	1.045413	1.010985	0.928227	0.998388	0.991749	0.996312	1.035907	1.037509	1.053791	0.95706	0.973768	0.946673	0.981395	0.958659	1.054205	0.980837	1.044453	0.9452	1.033887	0.950812	1.035634	0.923304	0.978676	1.016562	1.01912
MYOSLID	AC007879.7	ASO_G0229647_04	Targeted lncRNA	r2b1p2	0.571353	0.596889	0.822659	0.765522	1.008008	1.031924	0.987864	1.003039	1.034387	1.006226	1.079377	1.070054	0.92339	0.908841	0.90202	0.884912	0.926093	0.882974	0.947286	0.918124	0.922285	0.879835	0.914348	0.879129	0.873877	0.853485	1.014422	1.011667
MYOSLID	AC007879.7	ASO_G0229647_06	Targeted lncRNA	r2b1p2	1.070166	1.096519	0.950168	1.004503	0.884656	0.862352	0.963223	0.960758	1.010867	1.048406	1.002134	1.007067	0.901558	0.907612	0.906875	0.917458	1.011137	1.065196	0.995436	1.035044	1.064519	1.082657	1.069894	1.07908	0.975695	0.976929	0.977942	0.983938
MYOSLID	AC007879.7	ASO_G0229647_AD_01	Targeted lncRNA	r12b2ADp2	0.888445	0.929641	1.018016	1.03929	0.999937	1.035143	1.003361	1.000554	1.007619	1.00289	1.00407	0.989748	1.010313	1.044231	1.011275	1.036905	0.995144	0.994055	1.003423	0.99247	1.001097	1.007371	0.999623	1.002032	1.013175	1.04769	1.001716	0.989811
